DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/31/2015,17:00,BROOKLYN,11223,40.5984487,-73.9807852,"(40.5984487, -73.9807852)",AVENUE T,WEST 9 STREET,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3269053,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,17:34,BROOKLYN,11217,40.6877731,-73.9870011,"(40.6877731, -73.9870011)",HOYT STREET,ATLANTIC AVENUE,,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,3269162,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,18:30,BROOKLYN,11203,40.6510657,-73.9447717,"(40.6510657, -73.9447717)",EAST 35 STREET,CHURCH AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3269069,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,18:50,QUEENS,11368,40.7415899,-73.8618552,"(40.7415899, -73.8618552)",99 STREET,CHRISTIE AVENUE,,1,0,0,0,1,0,0,0,Prescription Medication,Passenger Distraction,,,,3269282,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,19:40,QUEENS,11101,40.7411807,-73.9422828,"(40.7411807, -73.9422828)",49 AVENUE,27 STREET,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3269245,OTHER,BICYCLE,,,
07/31/2015,20:05,QUEENS,11374,40.7324716,-73.8616432,"(40.7324716, -73.8616432)",62 DRIVE,97 STREET,,1,0,0,0,1,0,0,0,Unspecified,,,,,3268726,PASSENGER VEHICLE,,,,
07/31/2015,0:08,QUEENS,11377,40.7415207,-73.9045896,"(40.7415207, -73.9045896)",60 STREET,QUEENS BOULEVARD,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3268638,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,12:00,MANHATTAN,10007,40.7165333,-74.0066736,"(40.7165333, -74.0066736)",CHURCH STREET,THOMAS STREET,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3268115,PASSENGER VEHICLE,BICYCLE,,,
07/30/2015,20:46,BRONX,10455,40.8146278,-73.920348,"(40.8146278, -73.920348)",COURTLANDT AVENUE,THIRD AVENUE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,3268256,PASSENGER VEHICLE,BICYCLE,,,
07/30/2015,19:00,QUEENS,11106,40.7628293,-73.9289978,"(40.7628293, -73.9289978)",33 AVENUE,CRESCENT STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3268740,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/30/2015,18:15,BROOKLYN,11210,40.6319582,-73.9427303,"(40.6319582, -73.9427303)",AVENUE H,EAST 35 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3268399,UNKNOWN,BICYCLE,,,
07/30/2015,23:00,QUEENS,11421,40.6932632,-73.8532358,"(40.6932632, -73.8532358)",JAMAICA AVENUE,92 STREET,,1,0,0,0,1,0,0,0,Lost Consciousness,Traffic Control Disregarded,,,,3268552,PASSENGER VEHICLE,BICYCLE,,,
07/30/2015,8:05,MANHATTAN,10025,40.7993276,-73.960985,"(40.7993276, -73.960985)",MANHATTAN AVENUE,WEST 107 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Passenger Distraction,,,,3267564,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/30/2015,9:00,BROOKLYN,11207,40.6853679,-73.9108861,"(40.6853679, -73.9108861)",DECATUR STREET,BUSHWICK AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3267833,FIRE TRUCK,BICYCLE,,,
07/30/2015,9:55,MANHATTAN,10003,40.735214,-73.9917152,"(40.735214, -73.9917152)",EAST 14 STREET,UNIVERSITY PLACE,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,3267460,LIVERY VEHICLE,BICYCLE,,,
07/30/2015,11:00,BROOKLYN,11212,40.658218,-73.9058765,"(40.658218, -73.9058765)",LOTT AVENUE,OSBORN STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3267779,PASSENGER VEHICLE,BICYCLE,,,
07/30/2015,13:00,MANHATTAN,10013,40.7160144,-74.0088235,"(40.7160144, -74.0088235)",WEST BROADWAY,READE STREET,,1,0,0,0,1,0,0,0,Lost Consciousness,Lost Consciousness,,,,3268103,PASSENGER VEHICLE,BICYCLE,,,
07/30/2015,14:30,BROOKLYN,11219,40.6349148,-73.9949631,"(40.6349148, -73.9949631)",NEW UTRECHT AVENUE,51 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3267710,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/30/2015,14:40,MANHATTAN,10002,40.7190253,-73.9897692,"(40.7190253, -73.9897692)",DELANCEY STREET,ORCHARD STREET,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,3267466,UNKNOWN,BICYCLE,,,
07/30/2015,14:48,BROOKLYN,11205,40.6894449,-73.9551212,"(40.6894449, -73.9551212)",BEDFORD AVENUE,LAFAYETTE AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3268486,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/30/2015,16:00,BROOKLYN,11211,40.7127835,-73.9372465,"(40.7127835, -73.9372465)",GRAND STREET,CATHERINE STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3268526,BUS,BICYCLE,,,
07/30/2015,16:00,MANHATTAN,10010,40.7408734,-73.9879831,"(40.7408734, -73.9879831)",EAST 23 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Prescription Medication,Other Vehicular,,,,3268147,TAXI,BICYCLE,,,
07/29/2015,21:49,MANHATTAN,10037,40.8204372,-73.9362273,"(40.8204372, -73.9362273)",WEST 145 STREET,LENOX AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passenger Distraction,Unspecified,,,3267582,PASSENGER VEHICLE,BICYCLE,SPORT UTILITY / STATION WAGON,,
07/29/2015,22:30,MANHATTAN,10013,40.7237466,-74.0061151,"(40.7237466, -74.0061151)",VARICK STREET,WATTS STREET,,1,0,0,0,1,0,0,0,Lost Consciousness,Other Vehicular,,,,3289249,UNKNOWN,BICYCLE,,,
07/29/2015,22:50,BROOKLYN,11203,40.6538055,-73.9306058,"(40.6538055, -73.9306058)",UTICA AVENUE,LINDEN BOULEVARD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3272432,BICYCLE,UNKNOWN,,,
07/29/2015,7:30,BROOKLYN,11211,40.7107873,-73.9599439,"(40.7107873, -73.9599439)",SOUTH 4 STREET,ROEBLING STREET,,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,,,,3267848,TAXI,BICYCLE,,,
07/29/2015,9:20,MANHATTAN,10017,40.7566543,-73.9785667,"(40.7566543, -73.9785667)",WEST 47 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3267521,TAXI,BICYCLE,,,
07/29/2015,14:40,BROOKLYN,11238,40.6811367,-73.9556676,"(40.6811367, -73.9556676)",FULTON STREET,FRANKLIN AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3267168,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/29/2015,14:15,QUEENS,11421,40.6959506,-73.8623681,"(40.6959506, -73.8623681)",PARK LA SOUTH,FOREST PARKWAY,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3267238,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/29/2015,14:12,MANHATTAN,10011,40.7347834,-73.9987154,"(40.7347834, -73.9987154)",AVENUE OF THE AMERICAS,WEST 10 STREET,,1,0,0,0,1,0,0,0,Lost Consciousness,Passenger Distraction,,,,3266829,OTHER,BICYCLE,,,
07/29/2015,11:17,BROOKLYN,11205,40.696785,-73.9565804,"(40.696785, -73.9565804)",BEDFORD AVENUE,PARK AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3267167,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/29/2015,14:45,MANHATTAN,10024,40.783844,-73.9799879,"(40.783844, -73.9799879)",BROADWAY,WEST 79 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3266912,PASSENGER VEHICLE,BICYCLE,,,
07/29/2015,15:15,BROOKLYN,11201,40.6901442,-73.9840691,"(40.6901442, -73.9840691)",FULTON STREET,ELM PLACE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Passenger Distraction,,,,3267836,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/29/2015,16:19,BROOKLYN,11201,40.6983784,-73.9830501,"(40.6983784, -73.9830501)",NASSAU STREET,GOLD STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,3267195,BICYCLE,PASSENGER VEHICLE,,,
07/29/2015,18:55,BROOKLYN,11207,40.6649014,-73.8930528,"(40.6649014, -73.8930528)",NEW JERSEY AVENUE,LIVONIA AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3267147,PASSENGER VEHICLE,BICYCLE,,,
07/29/2015,19:36,BROOKLYN,11216,40.6879764,-73.9548301,"(40.6879764, -73.9548301)",BEDFORD AVENUE,GREENE AVENUE,,1,0,0,0,1,0,0,0,Cell Phone (hands-free),Unspecified,,,,3267169,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/29/2015,1:45,BROOKLYN,11226,40.6541504,-73.94993,"(40.6541504, -73.94993)",NOSTRAND AVENUE,LENOX ROAD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3267101,UNKNOWN,BICYCLE,,,
